row_id,gross_rent
0,649
1,910
2,690
3,743
4,876
5,543
6,527
7,536
8,956
9,488
10,677
11,871
12,429
13,587
14,569
15,558
16,576
17,560
18,647
19,616
20,789
21,1129
22,469
23,987
24,482
25,734
26,703
27,601
28,965
29,639
30,606
31,635
32,850
33,747
34,961
35,1009
36,593
37,578
38,601
39,788
40,958
41,622
42,733
43,741
44,985
45,506
46,669
47,712
48,898
49,553
50,792
51,1076
52,470
53,911
54,589
55,1035
56,805
57,670
58,534
59,547
60,689
61,740
62,723
63,706
64,580
65,501
66,517
67,1621
68,584
69,703
70,630
71,847
72,927
73,581
74,644
75,601
76,681
77,716
78,1067
79,589
80,848
81,731
82,657
83,1112
84,551
85,766
86,725
87,812
88,698
89,622
90,651
91,596
92,1008
93,577
94,584
95,562
96,850
97,1053
98,576
99,695
100,546
101,740
102,825
103,646
104,1131
105,503
106,762
107,692
108,941
109,963
110,967
111,785
112,766
113,494
114,832
115,804
116,761
117,551
118,603
119,561
120,668
121,603
122,698
123,609
124,660
125,556
126,577
127,694
128,604
129,883
130,657
131,518
132,774
133,527
134,566
135,577
136,738
137,821
138,556
139,635
140,977
141,525
142,493
143,471
144,861
145,624
146,630
147,643
148,736
149,709
150,670
151,747
152,619
153,535
154,528
155,646
156,681
157,886
158,515
159,578
160,675
161,847
162,521
163,566
164,516
165,567
166,618
167,730
168,605
169,875
170,864
171,410
172,692
173,798
174,652
175,772
176,636
177,585
178,1550
179,523
180,765
181,591
182,623
183,875
184,988
185,738
186,712
187,529
188,491
189,779
190,793
191,484
192,739
193,665
194,735
195,582
196,436
197,586
198,694
199,544
200,708
201,517
202,519
203,426
204,949
205,735
206,622
207,585
208,918
209,518
210,829
211,869
212,690
213,638
214,1012
215,472
216,943
217,1040
218,690
219,805
220,549
221,725
222,565
223,971
224,562
225,890
226,742
227,640
228,427
229,870
230,380
231,691
232,767
233,746
234,805
235,923
236,769
237,979
238,590
239,912
240,718
241,626
242,703
243,541
244,691
245,970
246,677
247,615
248,706
249,590
250,823
251,698
252,942
253,540
254,946
255,563
256,561
257,664
258,588
259,880
260,679
261,1040
262,827
263,764
264,456
265,539
266,531
267,694
268,952
269,603
270,527
271,1022
272,531
273,818
274,826
275,721
276,524
277,765
278,494
279,764
280,459
281,883
282,934
283,1001
